Match,Probe,Question,Target,Task,browser_codename,browser_name,browser_version,check_0,check_1,check_10,check_2,check_3,check_4,check_5,check_6,check_7,check_8,check_9,correct,correct_Probe_sti_response,correct_Target_response,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_jatosWorkerId,rectarget,response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,system_os,trial_seq
None,Probe_prac_6.png,None,apple.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,570,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_7.png,None,duck.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,648,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_8.png,None,jacket.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,805,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_9.png,None,owl.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,0,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,1241,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_10.png,None,tennis.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,393,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_11.png,None,vase.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,0,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,1111,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_6.png,None,apple.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,831,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_7.png,None,duck.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,394,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_8.png,None,jacket.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,255,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_9.png,None,owl.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,845,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_10.png,None,tennis.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,j,365,1080,1920,24,1080,24,-8,1072,1920,Win32,None
None,Probe_prac_11.png,None,vase.jpg,Prac,Mozilla,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,None,1,None,None,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,None,f,211,1080,1920,24,1080,24,-8,1072,1920,Win32,None
Y,Probe_V_14.png,None,ironV.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,0,None,0,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_0.png,f,1057,1080,1920,24,1080,24,-8,1072,1920,Win32,1
F,Probe_filler_9.png,None,sutcse.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_0.png,f,664,1080,1920,24,1080,24,-8,1072,1920,Win32,2
F,Probe_filler_21.png,None,tapedispenser.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_0.png,f,565,1080,1920,24,1080,24,-8,1072,1920,Win32,3
Y,Probe_V_12.png,None,glassV.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_0.png,j,1160,1080,1920,24,1080,24,-8,1072,1920,Win32,4
F,Probe_filler_22.png,None,umberella.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_0.png,f,1016,1080,1920,24,1080,24,-8,1072,1920,Win32,5
Y,Probe_H_3.png,None,bottleH.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_V_14.png,j,431,1080,1920,24,1080,24,-8,1072,1920,Win32,6
F,Probe_filler_7.png,None,ftball.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_22.png,f,610,1080,1920,24,1080,24,-8,1072,1920,Win32,7
F,Probe_filler_3.png,None,knife.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_21.png,f,1145,1080,1920,24,1080,24,-8,1072,1920,Win32,8
Y,Probe_V_16.png,None,nailV.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_22.png,j,364,1080,1920,24,1080,24,-8,1072,1920,Win32,9
N,Probe_H_10.png,None,flashV.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,None,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_22.png,j,552,1080,1920,24,1080,24,-8,1072,1920,Win32,10
Y,Probe_H_0.png,None,axeH.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,0,0,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_V_16.png,f,1249,1080,1920,24,1080,24,-8,1072,1920,Win32,11
Y,Probe_V_15.png,None,keyV.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,0,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_3.png,j,1160,1080,1920,24,1080,24,-8,1072,1920,Win32,12
F,Probe_filler_5.png,None,wndmil.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,0,0,0,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_filler_5.png,j,1169,1080,1920,24,1080,24,-8,1072,1920,Win32,13
F,Probe_filler_0.png,None,spider.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,0,0,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_H_10.png,j,1015,1080,1920,24,1080,24,-8,1072,1920,Win32,14
F,Probe_filler_6.png,None,mitten.jpg,SP,Mozilla,Netscape,5.0 (Windows),7,11,45,14,17,22,26,29,34,38,41,1,0,1,07-06-21,07-06-21,15:05:29,0,0,0,0,0,179,3.6.1,167,233,Probe_H_0.png,f,959,1080,1920,24,1080,24,-8,1072,1920,Win32,15
